Epoch,Loss train,Loss val,Deviation train,Deviation val
0,0.03542326829012703,0.045090682366315055,0.6021955609321594,0.766541600227356
1,0.032794980441822726,0.03555233338299919,0.5575146675109863,0.6043896675109863
2,0.02380435782320359,0.018295175888959098,0.40467408299446106,0.3110179901123047
3,0.010367515332558575,0.016044288873672485,0.1762477606534958,0.27275291085243225
4,0.02619672522825353,0.012337123646455653,0.44534432888031006,0.2097311019897461
5,0.017374001881655526,0.015501259004368502,0.2953580319881439,0.2635214030742645
6,0.010415335788446315,0.024074124939301434,0.17706070840358734,0.4092601239681244
7,0.013849578359547783,0.02838500282343696,0.23544283211231232,0.48254504799842834
8,0.017594647758147296,0.029312582576976103,0.29910901188850403,0.49831390380859375
9,0.018370526678421917,0.02631468282026403,0.3122989535331726,0.4473496079444885
10,0.0157470142140108,0.02216411688748528,0.2676992416381836,0.37678998708724976
11,0.012684262850705315,0.01773794608957627,0.21563246846199036,0.30154508352279663
12,0.010104985798106474,0.014500894090708564,0.17178475856781006,0.2465151995420456
13,0.010306508225553176,0.012428308234495275,0.175210639834404,0.21128123998641968
14,0.011349559706800124,0.011425356654559864,0.1929425150156021,0.1942310631275177
15,0.011734719662105335,0.011276641312767477,0.1994902342557907,0.19170290231704712
16,0.012148728265481837,0.01222102957613328,0.20652838051319122,0.20775750279426575
17,0.011666062123635235,0.014193243840161492,0.198323056101799,0.24128514528274536
18,0.010654064662316266,0.01711721805965199,0.18111909925937653,0.29099270701408386
19,0.009944495909354267,0.019617831005769616,0.16905643045902252,0.3335031270980835
20,0.011485825566684498,0.020192644175361183,0.19525903463363647,0.34327495098114014
21,0.011534929275512695,0.019009709358215332,0.19609379768371582,0.32316505908966064
22,0.011068467708194958,0.01654097262550803,0.18816395103931427,0.2811965346336365
23,0.010082746253294103,0.014413515434545629,0.17140668630599976,0.2450297623872757
24,0.010427972849677591,0.013121236773098217,0.17727553844451904,0.22306102514266968
25,0.010950928225236781,0.012802350170472088,0.18616577982902527,0.2176399528980255
26,0.011148815645891078,0.012936020598692052,0.18952986598014832,0.2199123501777649
27,0.011110864141408135,0.013651813654338612,0.1888846904039383,0.2320808321237564
28,0.01070101822123808,0.015068459160187665,0.18191730976104736,0.2561638057231903
29,0.010485393159529743,0.016913829480900484,0.17825168371200562,0.2875351011753082
30,0.010259725591715644,0.018706582924898935,0.17441533505916595,0.31801190972328186
31,0.010389754000832052,0.01949700011926539,0.1766258180141449,0.3314490020275116
32,0.010891157038071576,0.018485602210549748,0.1851496696472168,0.3142552375793457
33,0.010290078380528618,0.016786775168250587,0.1749313324689865,0.28537517786026
34,0.010105494190664852,0.015395460759892184,0.1717934012413025,0.2617228329181671
35,0.010114855626050164,0.014302945312331705,0.17195254564285278,0.24315007030963898
36,0.010551183539278367,0.013927571913775276,0.17937012016773224,0.2367687225341797
37,0.01057288664228776,0.014209625475546894,0.1797390729188919,0.24156363308429718
38,0.01068444988306831,0.01507379552897285,0.18163564801216125,0.25625452399253845
39,0.01023225048009087,0.016402333974838257,0.1739482581615448,0.27883967757225037
40,0.010120090316323674,0.01773894008468179,0.17204153537750244,0.30156198143959045
41,0.010125141809968388,0.018408654367222506,0.17212741076946259,0.3129471242427826
42,0.010543465614318848,0.017877008985070622,0.1792389154434204,0.30390915274620056
43,0.010253758114926955,0.01655534085105447,0.17431388795375824,0.281440794467926
44,0.010192921933005838,0.015511540805592257,0.17327967286109924,0.26369619369506836
45,0.010292551973286797,0.014745743835673612,0.17497338354587555,0.2506776452064514
46,0.010117223157602198,0.014632935909663929,0.17199279367923737,0.2487599104642868
47,0.010571425451951869,0.015133962911718032,0.17971423268318176,0.25727736949920654
48,0.010307553059914532,0.01614664407337413,0.17522840201854706,0.27449294924736023
49,0.010051623863332412,0.017210075083900902,0.170877605676651,0.2925712764263153
50,0.010022848844528198,0.018311086822958553,0.17038843035697937,0.3112884759902954
51,0.010365501922719619,0.018482911236145916,0.17621353268623352,0.3142094910144806
52,0.01052707784316119,0.017536464859457576,0.17896032333374023,0.2981199026107788
53,0.010127706562771517,0.016146914047353408,0.17217101156711578,0.27449753880500793
54,0.010254520703764522,0.015031986376818489,0.1743268519639969,0.2555437684059143
55,0.010166540741920471,0.01458662485375124,0.172831192612648,0.24797262251377106
56,0.010526145205778234,0.014791055637247422,0.17894446849822998,0.2514479458332062
57,0.01047427426366245,0.01556687495287727,0.17806266248226166,0.2646368741989136
58,0.010292314431246589,0.016438617425806382,0.17496934533119202,0.2794564962387085
59,0.01012739451492534,0.017379729186787325,0.17216570675373077,0.2954553961753845
60,0.010089872514500338,0.018369008513057932,0.17152783274650574,0.31227314472198486
61,0.01036215529722326,0.018461420255548814,0.1761566400527954,0.31384414434432983
